stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
DC4370,11959,28.664418,77.052837,Nilothi Crossing,11959
DC4773,11960,28.522175,76.965851,Jhatikra Village,11960
DC4783,11961,28.606425,76.972858,Krishna Nagar / Gopal Nagar,11961
DC4410,11962,28.5987725972629,76.9669809446253,Khera Village,11962
DC4411,11963,28.586969,76.959227,KharKhari Nahar / Khera Dabur,11963
DC4412,11964,28.5821517326493,76.9580820560017,Surhera Crossing,11964
DC4413,11965,28.573848,76.952387,Pandwala Crossing,11965
DC4414,11966,28.561696,76.941952,KharKhari Rondh,11966
DC4415,11967,28.556475,76.936796,Hasanpur Village,11967
DC4416,11968,28.548826,76.930857,Devta Wala Mandir,11968
DC4417,11969,28.536825,76.922412,Ghuman Hera More / Shikarpur Crossing,11969
DC4429,11970,28.534088,76.915012,Ghuman Hera DTC Depot Crossing,11970
DC4013,11971,28.5352,76.909367,Jhul-Jhuli Check Post / Ghumanhera Crossing,11971
DC4014,11972,28.53162,76.907067,Jhuljhuli Crossing,11972
DC4787,11973,28.5253328,76.8874616,Amrawati Piyau Galib Pur Road,11973
DC4789,11974,28.531301,76.883663,Galib Pur Piyau,11974
DC4785,11975,28.529556,76.881142,Galib Pur Village,11975
DC3944,11976,28.617104,77.338441,Kerala School,11976
U03581,11977,28.612733,77.306283,Trilok Puri 13 Block,11977
U03534,11978,28.6132,77.3014,Kotla Village,11978
U03497,11979,28.6128,77.2976,ITI Khichiripur,11979
U03473,11980,28.6132,77.2955,Pocket-5 Mayur Vihar Ph-1,11980
U03463,11981,28.6136,77.2937,Shashi Garden Xing,11981
U03437,11982,28.6142,77.2911,P S Pandav Nagar,11982
U03403,11983,28.616183,77.2881,Patparganj,11983
DC0111,11984,28.6158,77.286,Samaspur Jagir Village,11984
U03342,11985,28.61235,77.2825,Akhardham Temple,11985
U99933,11986,28.606154,77.274967,Khel Gaon,11986
DC0113,11987,28.5959338,77.2566294,Nizamuddin Road Bridge,11987
U03149,11988,28.589103,77.259022,ISBT Sarai Kale Khan,11988
U03202,11989,28.5821,77.26555,Bala Sahib Gurudwara,11989
U03189,11990,28.576295,77.264457,Maharani Bagh,11990
DC0135,11991,28.575087,77.262569,Maharani Bagh / Ashram,11991
DC3671,11992,28.565182,77.199371,Kamal Cinema,11992
U02083,11993,28.565983,77.194183,Green Field School,11993
DC3678,11994,28.566185,77.191208,Safdurjang Enclave,11994
U02038,11995,28.565068,77.189089,Mohammadpur Village,11995
U02026,11996,28.561654,77.188401,R K Puram Sec-2,11996
U01960,11997,28.556707,77.184517,R K Puram Sec-3,11997
U01919,11998,28.558072,77.182416,R K Puram Sec-3,11998
U01897,11999,28.5617636272265,77.1807161349993,R K Puram Sec 1/4,11999
U01859,12000,28.564139,77.178605,RK Puram Sec-1,12000
DC5138,12001,28.810181,77.175797,Ramzan Pur Crossing,12001
DC5251,12002,28.80374,77.177856,Kushak Pur Village,12002
DC0096,12003,28.5965,77.2407,Amir Khusro Park / Oberoi Hotel,12003
DC3804,12004,28.674295,77.287206,Shahdara Terminal,12004
U99775,12005,28.703355,77.169098,Shalimar Bagh Crossing,12005
U01551,12006,28.700077,77.158486,Prem Bari Pull,12006
U99833,12007,28.6758,77.1411,Punjabi Bagh Terminal,12007
U00590,12008,28.679764,77.06617,Nangloi Post Office,12008
U00554,12009,28.675011,77.061623,Qamruddin Nagar,12009
DC3868,12010,28.672979,77.059921,Aman Puri,12010
U00522,12011,28.66765,77.055344,ShivRam Park,12011
U00513,12012,28.664852,77.053329,Nilothi Crossing,12012
U00504,12013,28.661623,77.048813,Rishal Garden,12013
DC4372,12014,28.659496,77.045543,Ranhola Extension,12014
U00472,12015,28.655779,77.040634,Ranhola Village,12015
U00441,12016,28.654476,77.038017,Ranhola II,12016
U99750,12017,28.653399,77.035522,PS Ranhola,12017
DC3870,12018,28.652115,77.0326,BrahmPuri Colony,12018
DC4377,12019,28.651158,77.030203,BrahmPuri Colony,12019
DC4379,12020,28.64946,77.02727,TilangPur Kotla,12020
DC4380,12021,28.646242,77.021841,Chanchal Park,12021
U00363,12022,28.643213,77.016113,BakkarWala Crossing,12022
U00356,12023,28.641771,77.013802,Baprola Vidhyalaya,12023
U00351,12024,28.640823,77.011757,Baprola Village,12024
DC4384,12025,28.638365,77.007943,Baprola School,12025
U00307,12026,28.633911,77.003105,AirForce Station (BaniCamp),12026
U00297,12027,28.631506,77.000572,Jai Vihar,12027
U00286,12028,28.628744,76.99736,Dichau Kalan Depot,12028
DC3873,12029,28.625313,76.992615,Nirmal Vihar,12029
U00220,12030,28.62166,76.988228,Udaseen Ashram,12030
U00218,12031,28.617306,76.984154,Dichau Chowk,12031
DC4176,12032,28.560627,77.0557282,Dwarka Sec 22-23 / ClassicApartments,12032
DC5032,12033,28.572705,77.065945,Dwarka Sec 9 Metro Station,12033
DC5030,12034,28.57721,77.069827,Dwarka Sec 8 DTC Depot,12034
U00640,12035,28.5961071,77.0719115,Dwarka Sec-1 Mahalaxmi Apartment,12035
U00637,12036,28.5999,77.0714,SFS Flats Sec-2 Power House,12036
U00632,12037,28.604051,77.071622,Mahaveer Enclave Part II  and  III,12037
U99907A,12038,28.60635,77.075033,Vijay Enclave (New Dwarka Road),12038
U00690,12039,28.6076,77.078083,Dwarka Puri,12039
U00721,12040,28.60955,77.08075,New Dwarka Road / Seetapuri,12040
U00769,12041,28.6116034250795,77.0844719340043,Dabri Crossing Dwarka Road,12041
U02451,12042,28.624548,77.210633,Patel Chowk (Ashoka Road),12042
U02418,12043,28.625333,77.209333,Gurudwara Bangla Sahib,12043
U02359,12044,28.6235,77.2065,NDPO,12044
DC3967,12045,28.530644,77.086237,Kapashera More (Najafgarh Road),12045
DC3968,12046,28.52759,77.076229,Kapashera Village Bijwasan Road,12046
DC3969,12047,28.533565,77.059594,Shri Golok Dham Bijwasan School,12047
DC4770,12048,28.687054,76.965187,Tikri Border,12048
DC4768,12049,28.682661,76.964966,Tikri Kalan Village,12049
DC4766,12050,28.670099,76.959633,Fire Station Tikri Village,12050
DC4764,12051,28.666443,76.954498,Baba Haridass Gitanjali Enclave,12051
DC4762,12052,28.66218,76.953827,Jharoda Nala Crossing,12052
U00605,12053,28.626136,77.06845,Uttam Nagar Terminal,12053
DC5345,12054,28.665997,77.017006,Bakkargarh Village,12054
DC5240,12055,28.65925,77.01689,Bakkarwala Village Crossing,12055
DC5238,12056,28.65393,77.01678,Bakkarwala School,12056
DC5236,12057,28.64992,77.01678,Chanchal Park Part 1,12057
DC4381,12058,28.643343,77.016248,BakkarWala Crossing,12058
DC4383,12059,28.640858,77.011808,Baprola Village,12059
DC4385,12060,28.633299,77.002426,AirForce Station (BaniCamp),12060
DC4386,12061,28.631516,77.000557,Jai Vihar,12061
DC4388,12062,28.649623,77.027181,TilangPur Kotla,12062
